 ,Area,Mean,Min,Max,Angle,Length
1,362.747,102.240,39.574,194.114,33.856,527.653
2,375.011,137.111,39.524,240.435,34.850,545.669
3,235.384,55.953,34.464,213.231,-164.402,342.276
4,383.974,64.474,27.198,201.288,-22.273,558.125
5,384.917,105.871,31.933,212.858,25.747,559.688
6,421.239,74.583,36.333,164.164,-18.841,612.490
7,429.258,106.032,42.560,226.551,-18.076,624.215
8,285.386,162.119,39.948,244.791,78.541,414.862
9,362.747,121.732,42.174,220.906,66.038,527.617
10,289.160,56.613,33.820,89.000,-82.294,420.002
