 ,Area,Mean,Min,Max,Angle,Length
1,458.033,89.945,43.383,211.471,90.118,666.210
2,365.577,104.668,60.333,196.312,75.641,531.721
3,337.274,135.267,47.049,235.245,43.752,490.623
4,359.917,67.141,36.482,130.634,45.957,523.604
5,357.086,124.306,59.021,224.024,-105.508,518.891
6,482.090,88.644,44.275,196.094,69.470,701.122
7,444.825,84.350,41.834,200.955,-90.365,646.991
8,480.675,76.925,52.146,119.715,1.351,699.370
