 ,Area,Mean,Min,Max,Angle,Length
1,333.972,58.053,28.473,207.521,-87.567,485.328
2,302.839,128.753,36.071,229.178,-77.743,439.974
3,456.146,75.653,18.919,202.845,131.978,663.349
4,389.163,43.140,22.323,69.779,-42.246,565.951
5,257.555,101.246,30.303,183.982,51.406,374.345
6,344.822,84.622,35.648,172.197,75.240,501.436
7,395.295,77.520,28.111,192.184,-17.093,574.841
8,364.634,68.690,31.095,160.765,-49.833,530.273
9,318.406,42.487,23.006,114.584,-62.218,462.676
10,335.387,92.306,25.921,232.333,34.675,487.721
