 ,Area,Mean,Min,Max,Angle,Length
1,598.603,110.572,47.394,209.142,2.804,870.548
2,438.692,68.918,44.312,102.993,10.923,637.931
3,333.501,90.785,62.236,165.430,-80.538,484.616
4,356.143,132.902,59.061,210.990,-81.612,517.903
5,429.258,66.526,40.791,168.577,118.369,624.443
6,348.595,113.116,41.328,177.333,-13.321,506.766
7,401.899,142.221,60.800,239.212,44.048,584.804
8,341.520,88.268,45.776,168.695,77.695,496.292
9,345.765,127.223,46.058,237.530,66.308,502.518
10,321.236,135.178,56.849,215.802,-122.381,466.817
