 ,Area,Mean,Min,Max,Angle,Length
1,334.444,49.942,26.504,89.371,26.854,486.535
2,387.748,40.013,21.648,122.192,-158.562,563.729
3,393.880,70.633,21.939,194.218,-21.087,572.690
4,424.069,76.379,32.574,185.375,-99.231,616.501
5,383.030,47.619,30.871,98.721,59.642,557.166
6,361.332,62.651,29.479,221.986,-22.274,525.474
7,366.520,129.509,36.511,215.966,16.614,533.252
8,343.878,86.136,25.321,219.294,159.426,500.319
9,396.238,71.702,19.449,184.472,-23.324,575.910
10,304.254,127.830,32.680,223.868,43.112,442.182
